Texto,Fecha,Nombre Usuario,Fuente
"Si quieren terminar con el Kirchnerismo, Juntos por el Cambio debe apoyar a Javier Milei y el 19 de Noviembre terminan arrasando. Es simple. No jodan.",2023-10-23 10:28:57,lanatappt,https://www.threads.net/@lanatappt/post/CyvjalRg-vx
La anti ética dixit...🤦‍♀️,2023-10-26 01:29:22,veronicacepedaph,https://www.threads.net/@lanatappt/post/CyvjalRg-vx
"Te acordás cuándo estabas al frente de revista veintitrés? Te cabía Chávez, fidel y le dabas chirlos a Macri mientras fumabas en la ducha?",2023-10-24 04:48:22,leover.ok,https://www.threads.net/@lanatappt/post/CyvjalRg-vx
No hay otra posibilidad sino Ezeiza,2023-10-25 22:55:09,mariasusana_sartori,https://www.threads.net/@lanatappt/post/CyvjalRg-vx
"Que Antipatria y Facho que sos Lanata, remítete a decir tu opinión ,No a decirle a la gente lo que tiene que hacer.",2023-10-24 00:48:36,kristellrosario,https://www.threads.net/@lanatappt/post/CyvjalRg-vx
Mediquese,2023-10-24 00:00:19,_g_a_b_r_i_e_a,https://www.threads.net/@lanatappt/post/CyvjalRg-vx
Ni empedo. Votan todos a masa. Gana por afano.. literal,2023-10-23 23:15:53,juan.andres.castro,https://www.threads.net/@lanatappt/post/CyvjalRg-vx
"Por afano sería, por afanar claro! Termos",2023-10-24 11:07:40,alengraziano2,https://www.threads.net/@lanatappt/post/CyvjalRg-vx
Coherencia y dignidad nunca no?,2023-10-25 16:45:20,ivanburaok,https://www.threads.net/@lanatappt/post/CyvjalRg-vx
NOAMILEI,2023-10-24 22:45:17,florviterbo,https://www.threads.net/@lanatappt/post/CyvjalRg-vx
"Es precisamente lo contrario. Si Massa gana tomará el control total del peronismo y correrá definitivamente al kirchnerismo a una posición marginal. Si Massa pierde, el kirchnerismo verá una oportunidad para señalar que el error fue poner a un no kirchnerista y volverá a luchar por el dominio del peronismo, del que hoy ya se encuentra lejos",2023-10-24 17:52:51,acostaandrada,https://www.threads.net/@lanatappt/post/CyvjalRg-vx
"Si estudias HISTORIA, no defenderías el peronismo. Nadie que se precie de ser humanitario, lo respaldaría. Amigo de Hitler, asilador de alemanes asesinos. Lavó el cerebro a toda una generación. Leé los libros escolares de du época. Informate y dejarás de ser peronista. Gsrantizado.",2023-10-25 22:40:35,patocorte1216,https://www.threads.net/@lanatappt/post/CyvjalRg-vx
